FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006
UR1US,US,000,02,0001431,4554,213,0,213,4341,0
UR1US,US,000,02,0001435,268,0,0,0,268,0
UR1US,US,000,02,0001436,588,0,0,0,588,0
UR1US,US,000,02,0001437,40,0,0,0,40,0
UR1US,US,000,02,0001438,7387,0,0,0,7387,0
UR1US,US,000,02,0001442,2257,0,0,0,2257,0
UR1US,US,000,02,0001446,14467,14120,0,14120,347,0
UR1US,US,000,02,0001447,103,66,0,66,37,0
UR1US,US,000,02,0001448,2218,1189,0,1189,1029,0
UR1US,US,000,02,0001449,512,512,0,512,0,0
UR1US,US,000,02,0001450,37,0,0,0,37,0
UR1US,US,000,02,0001451,7927,1724,0,1724,6203,0
UR1US,US,000,02,0001455,5,0,0,0,5,0
UR1US,US,000,02,0001456,492,0,0,0,492,0
UR1US,US,000,02,0001457,6,0,0,0,6,0
UR1US,US,000,02,0001458,2982,2744,0,2744,238,0
UR1US,US,000,02,0001459,4014,106,0,106,3908,0
UR1US,US,000,02,0001463,798,0,0,0,798,0
UR1US,US,000,02,0001464,3741,0,0,0,3741,0
UR1US,US,000,02,0001468,112,0,0,0,112,0
UR1US,US,000,02,0001469,4068,0,0,0,4068,0
UR1US,US,000,02,0001473,152,0,0,0,152,0
UR1US,US,000,02,0001474,3855,0,0,0,3855,0
UR1US,US,000,02,0001478,3,0,0,0,3,0
UR1US,US,000,02,0001479,98,0,0,0,98,0
UR1US,US,000,02,0001480,446,0,0,0,446,0
UR1US,US,000,02,0001481,6826,0,0,0,6826,0
UR1US,US,000,02,0001485,305,134,0,134,171,0
UR1US,US,000,02,0001486,237,236,0,236,1,0
UR1US,US,000,02,0001487,285,0,0,0,285,0
UR1US,US,000,02,0001488,8286,473,0,473,7813,0
UR1US,US,000,02,0001492,2309,0,0,0,2309,0
UR1US,US,000,02,0001499,589,0,0,0,589,0
UR1US,US,000,02,0001500,5285,3419,0,3419,1866,0
UR1US,US,000,02,0001501,423,423,0,423,0,0
UR1US,US,000,02,0001502,2085,1915,0,1915,170,0
UR1US,US,000,02,0001503,3594,1446,0,1446,2148,0
UR1US,US,000,02,0001507,2067,0,0,0,2067,0
UR1US,US,000,02,0001511,4636,2849,0,2849,1787,0
UR1US,US,000,02,0001512,0,0,0,0,0,0
UR1US,US,000,02,0001513,2,0,0,0,2,0
UR1US,US,000,02,0001514,4,0,0,0,4,0
UR1US,US,000,02,0001518,10,0,0,0,10,0
UR1US,US,000,02,0001519,887,207,207,0,680,0
UR1US,US,000,02,0001520,558,0,0,0,558,0
UR1US,US,000,02,0001521,2344,1690,1690,0,654,0
UR1US,US,000,02,0001522,354,0,0,0,354,0
UR1US,US,000,02,0001523,1256,0,0,0,1256,0
UR1US,US,000,02,0001524,647,266,266,0,381,0
UR1US,US,000,02,0001525,3470,398,398,0,3072,0
UR1US,US,000,02,0001529,764,0,0,0,764,0
UR1US,US,000,02,0001530,255,77,0,77,178,0
UR1US,US,000,02,0001531,14905,11579,0,11579,3326,0
UR1US,US,000,02,0001532,6116,410,0,410,5706,0
UR1US,US,000,02,0001539,717,0,0,0,717,0
UR1US,US,000,02,0001543,204,0,0,0,204,0
UR1US,US,000,02,0001544,2600,0,0,0,2600,0
UR1US,US,000,02,0001548,557,0,0,0,557,0
UR1US,US,000,02,0001552,1345,0,0,0,1345,0
UR1US,US,000,02,0001556,20756,20734,0,20734,22,0
UR1US,US,000,02,0001557,4020,44,0,44,3976,0
UR1US,US,000,02,0001558,7663,823,0,823,6840,0
UR1US,US,000,02,0001562,0,0,0,0,0,0
UR1US,US,000,02,0001563,2671,2159,0,2159,512,0
UR1US,US,000,02,0001564,3287,61,0,61,3226,0
UR1US,US,000,02,0001571,1962,0,0,0,1962,0
UR1US,US,000,02,0001572,23,0,0,0,23,0
UR1US,US,000,02,0001573,2513,0,0,0,2513,0
UR1US,US,000,02,0001577,1862,0,0,0,1862,0
UR1US,US,000,02,0001578,6766,0,0,0,6766,0
UR1US,US,000,02,0001582,14012,7018,0,7018,6994,0
UR1US,US,000,02,0001583,7,0,0,0,7,0
UR1US,US,000,02,0001584,282,0,0,0,282,0
UR1US,US,000,02,0001585,4754,0,0,0,4754,0
UR1US,US,000,02,0001589,1018,0,0,0,1018,0
UR1US,US,000,02,0001590,0,0,0,0,0,0
UR1US,US,000,02,0001591,143,0,0,0,143,0
UR1US,US,000,02,0001592,96,0,0,0,96,0
UR1US,US,000,02,0001593,4116,0,0,0,4116,0
UR1US,US,000,02,0001597,896,0,0,0,896,0
UR1US,US,000,02,0001598,0,0,0,0,0,0
UR1US,US,000,02,0001599,5497,0,0,0,5497,0
UR1US,US,000,02,0001603,2102,0,0,0,2102,0
UR1US,US,000,02,0001604,1428,0,0,0,1428,0
UR1US,US,000,02,0001608,233,0,0,0,233,0
UR1US,US,000,02,0001609,723,0,0,0,723,0
UR1US,US,000,02,0001610,4981,0,0,0,4981,0
UR1US,US,000,02,0001614,9,0,0,0,9,0
UR1US,US,000,02,0001615,955,0,0,0,955,0
UR1US,US,000,02,0001616,4948,0,0,0,4948,0
UR1US,US,000,02,0001617,178,0,0,0,178,0
UR1US,US,000,02,0001618,1837,0,0,0,1837,0
UR1US,US,000,02,0001619,5464,0,0,0,5464,0
UR1US,US,000,02,0001623,0,0,0,0,0,0
UR1US,US,000,02,0001624,481,0,0,0,481,0
UR1US,US,000,02,0001625,360,0,0,0,360,0
UR1US,US,000,02,0001626,558,0,0,0,558,0
UR1US,US,000,02,0001627,2905,0,0,0,2905,0
UR1US,US,000,02,0001634,192,0,0,0,192,0
UR1US,US,000,02,0001635,3524,0,0,0,3524,0
UR1US,US,000,02,0001636,6388,3841,3841,0,2547,0
UR1US,US,000,02,0001640,1001,0,0,0,1001,0
UR1US,US,000,02,0001641,6158,0,0,0,6158,0
UR1US,US,000,02,0001645,1224,830,830,0,394,0
UR1US,US,000,02,0001646,962,943,943,0,19,0
UR1US,US,000,02,0001647,1262,1061,1061,0,201,0
UR1US,US,000,02,0001648,14496,13787,13787,0,709,0
UR1US,US,000,02,0001649,1792,1710,1710,0,82,0
UR1US,US,000,02,0001650,6711,4785,4785,0,1926,0
UR1US,US,000,02,0001654,55,0,0,0,55,0
UR1US,US,000,02,0001655,3110,2650,0,2650,460,0
UR1US,US,000,02,0001656,4547,64,0,64,4483,0
UR1US,US,000,02,0001660,4757,0,0,0,4757,0
UR1US,US,000,02,0001664,1341,425,0,425,916,0
UR1US,US,000,02,0001665,2506,0,0,0,2506,0
UR1US,US,000,02,0001666,572,0,0,0,572,0
UR1US,US,000,02,0001667,3736,0,0,0,3736,0
UR1US,US,000,02,0001668,6528,5857,0,5857,671,0
UR1US,US,000,02,0001669,8441,377,0,377,8064,0
UR1US,US,000,02,0001676,7291,6456,0,6456,835,0
UR1US,US,000,02,0001677,5081,109,0,109,4972,0
UR1US,US,000,02,0001681,5399,4387,0,4387,1012,0
UR1US,US,000,02,0001682,137,0,0,0,137,0
UR1US,US,000,02,0001683,5080,64,0,64,5016,0
UR1US,US,000,02,0001687,9,0,0,0,9,0
UR1US,US,000,02,0001688,2478,2323,0,2323,155,0
UR1US,US,000,02,0001689,184,0,0,0,184,0
UR1US,US,000,02,0001690,3284,92,0,92,3192,0
UR1US,US,000,02,0001694,1440,546,0,546,894,0
UR1US,US,000,02,0001695,2192,5,0,5,2187,0
UR1US,US,000,02,0001699,2903,0,0,0,2903,0
UR1US,US,000,02,0001700,2841,0,0,0,2841,0
UR1US,US,000,02,0001707,903,0,0,0,903,0
UR1US,US,000,02,0001708,683,0,0,0,683,0
UR1US,US,000,02,0001709,193,0,0,0,193,0
UR1US,US,000,02,0001710,561,0,0,0,561,0
UR1US,US,000,02,0001711,698,0,0,0,698,0
UR1US,US,000,02,0001712,2264,0,0,0,2264,0
UR1US,US,000,02,0001716,6048,5754,5754,0,294,0
UR1US,US,000,02,0001717,36593,35947,35947,0,646,0
UR1US,US,000,02,0001718,662,0,0,0,662,0
UR1US,US,000,02,0001719,4716,2473,2473,0,2243,0
UR1US,US,000,02,0001720,9,0,0,0,9,0
UR1US,US,000,02,0001721,879,0,0,0,879,0
UR1US,US,000,02,0001722,9602,7280,7280,0,2322,0
UR1US,US,000,02,0001723,449,97,97,0,352,0
UR1US,US,000,02,0001724,112,0,0,0,112,0
UR1US,US,000,02,0001725,8257,6357,6357,0,1900,0
UR1US,US,000,02,0001726,58,0,0,0,58,0
UR1US,US,000,02,0001727,4643,1991,1991,0,2652,0
UR1US,US,000,02,0001731,1580,0,0,0,1580,0
UR1US,US,000,02,0001732,30,30,30,0,0,0
UR1US,US,000,02,0001733,406,338,338,0,68,0
UR1US,US,000,02,0001734,4277,2841,2841,0,1436,0
UR1US,US,000,02,0001735,2986,887,887,0,2099,0
UR1US,US,000,02,0001739,0,0,0,0,0,0
UR1US,US,000,02,0001740,1621,13,13,0,1608,0
UR1US,US,000,02,0001741,1332,0,0,0,1332,0
UR1US,US,000,02,0001745,1109,790,0,790,319,0
UR1US,US,000,02,0001746,2137,6,0,6,2131,0
UR1US,US,000,02,0001747,932,0,0,0,932,0
UR1US,US,000,02,0001748,394,0,0,0,394,0
UR1US,US,000,02,0001749,1698,225,0,225,1473,0
UR1US,US,000,02,0001750,2138,0,0,0,2138,0
UR1US,US,000,02,0001751,970,124,0,124,846,0
UR1US,US,000,02,0001755,1394,0,0,0,1394,0
UR1US,US,000,02,0001756,233,116,116,0,117,0
UR1US,US,000,02,0001757,1187,0,0,0,1187,0
UR1US,US,000,02,0001758,955,17,17,0,938,0
UR1US,US,000,02,0001762,0,0,0,0,0,0
UR1US,US,000,02,0001763,204,0,0,0,204,0
UR1US,US,000,02,0001764,1517,0,0,0,1517,0
UR1US,US,000,02,0001771,1148,0,0,0,1148,0
UR1US,US,000,02,0001772,2402,0,0,0,2402,0
UR1US,US,000,02,0001776,215,0,0,0,215,0
UR1US,US,000,02,0001777,4619,3408,0,3408,1211,0
UR1US,US,000,02,0001778,3719,0,0,0,3719,0
UR1US,US,000,02,0001782,1,0,0,0,1,0
UR1US,US,000,02,0001783,1468,0,0,0,1468,0
UR1US,US,000,02,0001787,457,0,0,0,457,0
UR1US,US,000,02,0001788,0,0,0,0,0,0
UR1US,US,000,02,0001789,770,0,0,0,770,0
UR1US,US,000,02,0001790,2442,0,0,0,2442,0
UR1US,US,000,02,0001797,1148,0,0,0,1148,0
UR1US,US,000,02,0001798,150,0,0,0,150,0
UR1US,US,000,02,0001799,4598,0,0,0,4598,0
UR1US,US,000,02,0001803,3158,0,0,0,3158,0
